,Rank,Name,Total,Singles,Doubles
355,356,"Rottgering, Mees","24,799","24,583",216
356,357,"Clarke, Jay","24,565","21,316","3,249"
357,358,"Winter, Edward","24,427","23,358","1,069"
358,359,"Hardt, Nick","24,254","24,254",0
359,360,"Crawford, Oliver","23,770","23,770",0
360,361,"Wu, Yibing","23,760","23,760",0
361,362,"Yevseyev, Denis","23,518","20,689","2,829"
362,363,"Demoliner, Marcelo","23,501",0,"23,501"
363,364,"Marterer, Maximilian","23,293","23,293",0
364,365,"Ymer, Elias","23,056","23,056",0
365,366,"Ritschard, Alexander","23,018","23,018",0
366,367,"Reis Da Silva, Joao Lucas","23,000","18,960","4,040"
367,368,"Gea, Arthur","22,990","21,959","1,031"
368,369,"Kestelboim, Mariano","22,839","12,879","9,960"
369,370,"Pellegrino, Andrea","22,739","20,402","2,337"
370,371,"Geerts, Michael","22,636","19,550","3,086"
371,372,"Kolar, Zdenek","22,554","12,619","9,935"
372,373,"Rodriguez Taverna, Santiago","22,518","18,358","4,160"
373,374,"Blanch, Darwin","22,252","22,198",54
374,375,"Sels, Jelle","22,118","21,330",788
375,376,"Sharipov, Marat","21,946","20,855","1,091"
376,377,"Dalla Valle, Enrico","21,871","19,326","2,545"
377,378,"Merida, Daniel","21,836","15,916","5,920"
378,379,"van Rijthoven, Tim","21,742","21,742",0
379,380,"Rehberg, Max Hans","21,499","21,499",0
380,381,"Den Ouden, Guy","21,381","20,781",600
381,382,"Janvier, Maxime","21,314","18,462","2,852"
382,383,"Butvilas, Edas","21,232","19,541","1,691"
383,384,"Zink, Tyler","21,204","15,204","6,000"
384,385,"Tabur, Clement","21,175","19,355","1,820"
385,386,"Martos Gornes, Sergio","21,061",350,"20,711"
386,387,"Midon, Lautaro","20,860","17,774","3,086"
387,388,"Gengel, Marek","20,685","19,707",978
388,389,"Alves, Mateus","20,600","16,375","4,225"
389,390,"Bouzige, Moerani","20,500","19,303","1,197"
390,391,"Olivo, Renzo","20,076","16,865","3,211"
391,392,"Perez, Alfredo","19,621","15,601","4,020"
392,393,"Kirkin, Ergi","19,612","18,089","1,523"
393,394,"Watanabe, Seita","19,523",960,"18,563"
394,395,"Oberleitner, Neil","19,510","8,700","10,810"
395,396,"Sanchez Jover, Carlos","19,169","17,982","1,187"
396,397,"Kozlov, Stefan","19,130","18,840",290
397,398,"Negritu, Christoph","18,979","10,675","8,304"
398,399,"Dutra da Silva, Daniel","18,947","15,047","3,900"
399,400,"Mies, Andreas","18,659",0,"18,659"
400,401,"Monday, Johannus","18,520","17,773",747
401,402,"Ho, Ray","18,495","2,305","16,190"
402,403,"Cui, Jie","18,452","17,981",471
403,404,"Harris, Lloyd","18,290","18,290",0
404,405,"Yuzuki, Takeru","18,273",0,"18,273"
405,406,"Ramos-Vinolas, Albert","18,109","18,109",0
406,407,"Olivieri, Genaro Alberto","17,995","17,825",170
407,408,"Langmo, Christian","17,974","17,109",865
408,409,"Stevens, Bart","17,945",0,"17,945"
409,410,"Villanueva, Gonzalo","17,730","10,355","7,375"
410,411,"Gray, Alastair","17,572","16,900",672
411,412,"Added, Dan","17,540","12,141","5,399"
412,413,"Maloney, Patrick","17,336","15,757","1,579"
413,414,"Escobar, Gonzalo","17,275",0,"17,275"
414,415,"Torres, Juan Bautista","17,190","14,820","2,370"
415,416,"Neuchrist, Maximilian","17,155","14,094","3,061"
416,417,"Gakhov, Ivan","17,022","15,413","1,609"
417,418,"Hernandez, Alex","16,896","15,735","1,161"
418,419,"Elias, Gastao","16,740","15,606","1,134"
419,420,"Kuzmanov, Dimitar","16,572","16,287",285
420,421,"Cecchinato, Marco","16,552","15,687",865
421,422,"Martin Tiffon, Pol","16,505","15,958",547
422,423,"Prihodko, Oleg","16,358","13,512","2,846"
423,424,"Bortolotti, Marco","16,251",0,"16,251"
424,425,"Pokorny, Lukas","16,163","11,483","4,680"
425,426,"Pinnington Jones, Jack","16,105","15,295",810
426,427,"Bueno, Gonzalo","16,020","15,225",795
427,428,"Loffhagen, George","15,930","15,930",0
428,429,"Mayo, Aidan","15,908","15,908",0
429,430,"Pereira, Tiago","15,907","11,484","4,423"
430,431,"Michalski, Daniel","15,850","15,060",790
431,432,"Nanda, Govind","15,841","12,565","3,276"
432,433,"Napolitano, Stefano","15,830","12,370","3,460"
433,434,"Hilderbrand, Trey","15,770","4,972","10,798"
434,435,"Barton, Hynek","15,766","13,789","1,977"
435,436,"Poljicak, Mili","15,706","9,808","5,898"
436,437,"Paris, Tom","15,683","15,683",0
437,438,"Prado Angelo, Juan Carlos","15,492","13,327","2,165"
438,439,"Johns, Garrett","15,473","14,057","1,416"
439,440,"Peniston, Ryan","15,353","15,080",273
440,441,"Ferreira Silva, Frederico","15,146","15,146",0
441,442,"Nijboer, Ryan","15,142","13,296","1,846"
442,443,"Quan, Rudy","15,115","15,115",0
443,444,"Sanchez Izquierdo, Nikolas","14,905","13,645","1,260"
444,445,"Ilagan, Andre","14,782","13,171","1,611"
445,446,"Pucinelli De Almeida, Matheus","14,670","13,680",990
446,447,"Erhard, Mathys","14,630","13,203","1,427"
447,448,"Sakellaridis, Stefanos","14,443","12,027","2,416"
448,449,"Justo, Guido Ivan","14,397","12,667","1,730"
449,450,"Fancutt, Thomas","14,358",0,"14,358"
450,451,"Harper, Cleeve","14,347","1,618","12,729"
451,452,"Sell, Karue","14,307","14,307",0
452,453,"Vrbensky, Michael","14,250","9,198","5,052"
453,454,"Ramanathan, Ramkumar","14,226","6,973","7,253"
454,455,"Zapata Miralles, Bernabe","14,207","14,207",0
455,456,"Kirkov, Vasil","14,188",0,"14,188"
456,457,"Bayldon, Blake","14,155","1,670","12,485"
457,458,"Hach Verdugo, Hans","14,085",0,"14,085"
458,459,"Matuszewski, Piotr","13,980",0,"13,980"
459,460,"Martin, Andres","13,972","12,077","1,895"
460,461,"Rodesch, Chris","13,920","13,201",719
461,462,"Martin, Andrej","13,821","12,271","1,550"
462,463,"Paire, Benoit","13,793","12,748","1,045"
463,464,"Cervantes, Inigo","13,759",0,"13,759"
464,465,"Bar Biryukov, Petr","13,728","12,756",972
465,466,"Kicker, Nicolas","13,671","13,671",0
466,467,"Ymer, Mikael","13,667","13,667",0
467,468,"Schwartzman, Diego","13,640","13,640",0
468,469,"Brunold, Mika","13,610","13,610",0
469,470,"Bertrand, Robin","13,580","12,071","1,509"
470,471,"Andrade, Andres","13,558","12,792",766
471,472,"Simakin, Ilia","13,406","11,751","1,655"
472,473,"Jones, Maximus","13,401","11,914","1,487"
473,474,"Chung, Hyeon","13,378","13,378",0
474,475,"Gombos, Norbert","13,227","13,072",155
475,476,"Aboian, Valerio","13,219","10,190","3,029"
476,477,"Shah, Aryan","13,200","10,694","2,506"
477,478,"Imamura, Masamichi","13,180","9,141","4,039"
478,479,"Boogaard, Thijs","13,141","13,141",0
479,480,"Fery, Arthur","13,119","12,958",161
480,481,"Nedovyesov, Aleksandr","13,118",0,"13,118"
481,482,"Berankis, Ricardas","13,055","12,770",285
482,483,"Singh, Karan","12,797","10,338","2,459"
483,484,"Searle, Henry","12,772","12,499",273
484,485,"Molleker, Rudolf","12,698","11,232","1,466"
485,486,"Boscardin Dias, Pedro","12,509","10,454","2,055"
486,487,"Fomin, Sergey","12,395","10,067","2,328"
487,488,"Rybakov, Alex","12,368","11,045","1,323"
488,489,"Stewart, Hamish","12,311","8,844","3,467"
489,490,"Purtseladze, Saba","12,298","10,753","1,545"
490,491,"Sakamoto, Pedro","12,188","11,334",854
491,492,"Zayid, Mubarak Shannan","12,110","6,190","5,920"
492,493,"Prizmic, Dino","12,083","12,083",0
493,494,"Aguilar, Juan Carlos","12,053","8,040","4,013"
494,495,"Wendelken, Harry","12,035","9,076","2,959"
495,496,"Hsu, Yu Hsiou","11,984","8,516","3,468"
496,497,"Sinclair, Colin","11,920","4,268","7,652"
497,498,"Parker, Stuart","11,909","11,425",484
498,499,"Kopp, Sandro","11,891","9,578","2,313"
